sample,k__Bacteria;p__Firmicutes,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Bacteroidetes,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Verrucomicrobia,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Fusobacteria,k__Bacteria;p__GN02,k__Bacteria;p__Planctomycetes,k__Bacteria;p__SR1,k__Bacteria;p__Spirochaetes,k__Bacteria;p__Synergistetes,k__Bacteria;p__TM7,k__Bacteria;p__Tenericutes,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__[Thermi],k__Bacteria;__
SRR12325998,0.352180163,0.15604536,0.217377416,0,0,0.199648618,0.072033222,0,0,0,0.001118032,0,0.000638876,0,0,0.000958313,0,0
SRR12326001,0.559293075,0.135084628,0.148646484,5.34E-05,0,0.096161034,0.050589994,0,0,0.000266966,0.002669657,0.000266966,0.006086817,0.000587324,0,0.000293662,0,0
SRR12326023,0.263426714,0.036965382,0.024295959,0,0,0.669474724,0.002837538,0,0,4.79E-05,0.000191626,5.16E-05,0.002450601,7.37E-06,0,1.47E-05,0,0.000235847
SRR12326030,0.429861904,0.185754335,0.161353961,0,0,0.146506074,0.058353234,0,0,0,0,0,0.018170491,0,0,0,0,0
SRR12326031,0.701174701,0.03477808,0.165890284,0,0,0.091733696,0.003602222,0,0,0.00169261,5.79E-05,0,0.000853539,0,0,0,0,0.000217001
SRR12326033,0.414338655,0.080387685,0.349059293,0,0,0.135974914,0.014110604,0,0,0,0.000285063,0,0.005843786,0,0,0,0,0
SRR12326036,0.500189167,0.023177011,0.441613344,0,0,0.031450989,0.001628477,0,0,0.001200796,0.000131594,4.93E-05,0.000427681,0,0,0,0.000131594,0
SRR12326038,0.393685666,0.058073437,0.303041942,0,0,0.214165002,0.024888616,0,0,0.001459518,0,0,0.004455369,0,0,0.00023045,0,0
SRR12326041,0.501136733,0.052885136,0.343130887,0,0,0.084984302,0.015481217,0,0,0,0.000270651,0,0.001732164,0,0,0,0,0.000378911
SRR12326043,0.472580743,0.050415076,0.325031812,0,0,0.124644004,0.023995637,0,0,0,0.000848331,0,0.001454281,0,0.000181785,0.00036357,0,0.00048476
SRR12326045,0.636754007,0.110791487,0.039688992,0,0,0.172492861,0.032393221,0,0,0.000291831,0.000938028,0,0.005649011,0.000145915,0,0.000812957,0,4.17E-05
SRR12326046,0.670303934,0.030819183,0.213818066,0,0,0.070261351,0.012615106,0,0,0,0,0,0.001969447,0,0,0.000106457,0,0.000106457
SRR12326048,0.595868037,0.057371552,0.322444565,0,0,0.021438615,0.002293131,0,0,0,0.000173067,0,0.000411033,0,0,0,0,0
SRR12326050,0.544498836,0.088676671,0.194928176,0,0,0.151111468,0.01693283,0,0,0,0.001364256,0,0.00208651,0,0,0,0,0.000401252
SRR12326053,0.465300546,0.165191257,0.244535519,0,0,0.093278689,0.02852459,0,0,0,0.001147541,0,0.00147541,0,0,0,0,0.000546448
SRR12326055,0.689669749,0.050990753,0.149590489,0,0,0.093738441,0.013527081,0,0,0,0.001215324,0,0.001109643,0,0,0,0,0.00015852
SRR12326058,0.571372615,0.05461362,0.151922108,0,0,0.206367859,0.013429579,0,0,0,0.000447653,0,0.001846567,0,0,0,0,0
SRR12326060,0.620686701,0.282489828,0.083289314,0,0,0.01026483,0.002284246,0,0,0,0.000199872,0,0.000585338,0,0,0,0,0.000199872
SRR12326062,0.573692946,0.032282158,0.270124481,0,0,0.083651452,0.037261411,0,0,0,0,0.000248963,0.002738589,0,0,0,0,0
SRR12326065,0.576032235,0.017567084,0.357719178,0,2.90E-05,0.045599049,0.001381789,0,0,1.93E-05,0.000183594,0,0.000434829,0.0003382,0,1.93E-05,0,0.0006764
SRR12326067,0.250068524,0.14984011,0.046779351,0,0,0.448286889,0.084376428,0.000274098,0,0.005116492,0.004751028,0.000228415,0.008314299,0.000137049,0,0.000365464,0,0.001461855
SRR12326068,0.436587147,0.088972736,0.172894352,0,0,0.280063291,0.015640214,0,0,0.000182571,0.001399708,0.000365141,0.003773126,0,0,0.000121714,0,0
SRR12326070,0.257117036,0.122307576,0.103529648,0,0,0.441532359,0.063061706,0,0.0006025,0.00276146,0.004568961,0.000451875,0.003163127,0.000451875,0.000150625,0.000150625,0,0.000150625
SRR12326072,0.301260625,0.107869353,0.134562124,0,0,0.278005921,0.158389839,0.000238755,0,0.006064368,0.003294814,0,0.009454684,0.000382007,0,0.000238755,0,0.000238755
SRR12326074,0.153262478,0.04684515,0.174680479,0.000295977,0,0.565155388,0.03376833,0,0,0.002690704,0.012780842,0,0.001641329,0.000780304,0,0.003740078,0,0.00435894
SRR12326077,0.400065367,0.089821971,0.110220325,0,0,0.285038643,0.08572692,0.000115354,0,0.000942054,0.000365286,0,0.026512093,0.001153536,0,0,0,3.85E-05
SRR12326081,0.346436871,0.174928996,0.096953266,0,0,0.258391428,0.100309837,0,0,0.003743868,0.003098373,0.004453912,0.010327911,0.000451846,0,0.000516396,0,0.000387297
SRR12326082,0.349671249,0.054393305,0.150029886,0,0,0.41063957,0.035265989,0,0,0,0,0,0,0,0,0,0,0
SRR12326084,0.14503183,0.043730971,0.245502353,0,0,0.536949903,0.018267368,0,0,0.002491005,0.008026571,0,0,0,0,0,0,0
SRR12326087,0.389119102,0.137682128,0.054805507,0,0,0.362384708,0.037695495,0,0,0,0.000267344,0,0.002406095,0,0,0.01563962,0,0
SRR12326090,0.275247525,0.067986799,0.116831683,0,0,0.462046205,0.063366337,0,0,0,0.00660066,0,0.001980198,0,0,0.005940594,0,0
SRR12326103,0.260198505,0.195750077,0.104892659,0,0,0.323116611,0.072930786,8.74E-05,0,0.004678414,0.015740457,0.000961917,0.019325784,0.000655852,0,0.001093087,0,0.000568405
SRR12326113,0.218721322,0.062506373,0.505965127,0,0,0.085347201,0.10257979,0,0,0,0.008157439,0.000305904,0.012032222,0.003772815,0,0.000611808,0,0
SRR12326121,0.463656611,0.069042316,0.138692043,0,0,0.180805831,0.145373557,0,0,0.001619761,0.000809881,0,0,0,0,0,0,0
SRR12326122,0.574349442,0.071251549,0.139405204,0,0,0.161090458,0.053903346,0,0,0,0,0,0,0,0,0,0,0
SRR12326123,0.192735794,0.059753954,0.169888694,0,0,0.554774458,0.021675454,0,0,0,0.001171646,0,0,0,0,0,0,0
SRR12326124,0.210478771,0.069858476,0.369467028,0,0,0.273411623,0.05992171,0,0,0.011743451,0.001505571,0,0.003613369,0,0,0,0,0
SRR12326125,0.21599102,0.078875793,0.095799335,0,0,0.490350991,0.094806372,0,0,0.003583301,0.006821224,0.000431723,0.005828261,0.000259034,0,0.007166602,0,8.63E-05
SRR12326128,0.3219122,0.059016187,0.141525477,0,0,0.445550167,0.030484348,0,0,0.000125968,0.000944763,0,0.000188953,0.000251937,0,0,0,0
SRR12326129,0.224291104,0.017646343,0.368869417,0,0,0.153218936,0.204940976,0,0,0.006571742,0.019350128,0.000608495,0.00109529,0.00340757,0,0,0,0
SRR12326133,0.223125231,0.030661249,0.24824529,0,0,0.390099741,0.099371999,0,0,0.001847063,0.004063539,0,0.002585888,0,0,0,0,0
SRR12326134,0.545801527,0.092239186,0.058524173,0,0,0.27480916,0.022900763,0,0,0,0.001908397,0.001272265,0.002544529,0,0,0,0,0
SRR12326139,0.147254285,0.035327037,0.348373557,0,0,0.413081497,0.051766352,0,0,0,0.002448409,0,0.001049318,0,0,0,0.000699545,0
SRR12326147,0.330915951,0.08111507,0.076336198,0,0,0.459945504,0.03739258,0,0,0.000628799,0.002263676,0,0.006791029,0,0,0.001928317,0,0.002682876
SRR12326148,0.074906367,0.011235955,0.058426966,0,0,0.844194757,0.011235955,0,0,0,0,0,0,0,0,0,0,0
SRR12326150,0.280159884,0.128270349,0.29869186,0,0,0.23619186,0.049418605,0,0,0,0.003270349,0,0.002180233,0.001090116,0,0.000726744,0,0
SRR12326154,0.335443038,0.089240506,0.103164557,0,0.001265823,0.41835443,0.039873418,0,0,0.001265823,0.00443038,0,0.001265823,0,0,0.005696203,0,0
SRR12326167,0.177235189,0.036050269,0.105709156,0.002728905,0,0.447181329,0.219533214,0,0,0,0.008689408,0.001579892,0,0,0,0.001149013,0,0.000143627
